Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,82.74,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platformer,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,Super Mario Land,GB,1989,Platformer,Nintendo,10.79,3.18,6.92,0.47,21.37
8,New Super Mario Bros.,DS,2006,Platformer,Nintendo,11.38,9.23,6.5,0.72,27.83
9,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,0.84,22.35
10,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,7.6,5.79,7.3,0.71,21.4
11,Wii Fit,Wii,2007,Sports,Nintendo,9.13,8.33,3.6,1.21,22.27
12,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,6.18,2.9,1.33,19.5
13,Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,7.43,5.02,0.37,1.05,13.87
14,Grand Theft Auto V,PS3,2013,Action,Rockstar Games,7.01,5.42,0.77,1.21,14.41
15,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,8.32,5.62,5.35,0.74,20.03
16,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,5.36,4.95,3.73,0.56,14.6
17,Super Mario World,SNES,1990,Platformer,Nintendo,4.57,3.47,4.91,0.24,13.19
18,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.15,4.53,5.21,0.43,15.32
19,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,5.0,3.63,1.46,0.59,10.68
20,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games,7.43,3.85,0.37,0.76,12.41
21,Super Mario 64,N64,1996,Platformer,Nintendo,5.68,3.73,1.92,0.59,11.91
22,Minecraft,X360,2012,Survival,Microsoft Studios,5.86,3.54,0.28,0.53,10.21
23,Super Smash Bros.,N64,1999,Fighting,Nintendo,4.17,2.68,1.97,0.27,9.09
24,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,5.45,4.5,6.0,0.56,16.51
25,The Sims,PC,2000,Simulation,Electronic Arts,6.22,5.51,0.39,0.87,12.99
26,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,6.54,4.63,0.11,0.64,11.93
27,Call of Duty: Black Ops,X360,2010,Shooter,Activision,6.45,4.62,0.44,0.57,12.08
28,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,3.95,3.89,1.7,0.51,10.05
29,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Role-Playing,Nintendo,4.0,3.48,3.97,0.34,11.79
30,Super Mario Bros. 3,SNES,1990,Platformer,Nintendo,3.84,3.84,3.84,0.0,11.52
31,Mario Kart 7,3DS,2011,Racing,Nintendo,4.53,3.57,2.39,0.46,10.95
32,New Super Mario Bros. U,WiiU,2012,Platformer,Nintendo,3.68,2.86,1.68,0.31,8.53
33,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,5.46,4.14,0.18,0.51,10.29
34,Grand Theft Auto V,X360,2013,Action,Rockstar Games,5.09,3.91,0.17,0.53,9.7
35,Super Mario Odyssey,Switch,2017,Platformer,Nintendo,4.85,3.27,1.4,0.48,10.0
36,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,4.47,3.57,2.72,0.48,11.24
37,The Legend of Zelda: Breath of the Wild,Switch,2017,Action,Nintendo,4.7,3.15,1.51,0.43,9.79
38,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,3.49,3.1,2.56,0.45,9.6
39,Super Smash Bros. for Wii U,WiiU,2014,Fighting,Nintendo,3.61,2.42,1.69,0.28,8.0
40,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo,3.45,2.69,1.87,0.3,8.31
41,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.43,2.96,1.67,0.4,8.46
42,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.75,2.25,2.75,0.15,7.9
43,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,4.25,3.05,0.07,0.4,7.77
44,Super Mario Galaxy,Wii,2007,Platformer,Nintendo,3.66,3.02,1.34,0.35,8.37
45,The Last of Us,PS3,2013,Action,Sony Computer Entertainment,3.18,2.86,0.63,0.39,7.06
46,Halo 3,X360,2007,Shooter,Microsoft Game Studios,4.17,2.01,0.19,0.34,6.71
47,Super Mario Galaxy 2,Wii,2010,Platformer,Nintendo,3.46,2.69,1.3,0.28,7.73
48,Call of Duty: Ghosts,X360,2013,Shooter,Activision,3.64,2.69,0.08,0.34,6.75
49,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,3.44,2.48,0.18,0.34,6.44
50,Mario Kart 8 Deluxe,Switch,2017,Racing,Nintendo,4.43,2.55,1.06,0.46,8.5
